model_key,valid_fold,max_slice_length,padding,sensitivity,precision,mcc,micro_auprc,valid_mcc,train_bce,valid_bce,lr,finished_at
esm-t33,2,450,100,0.5887,0.7889,0.6679,0.6837,0.5813,0.0008,0.2302,0.0003,2024-06-04 05:31:47
esm-t33,2,450,125,0.6162,0.7589,0.6696,0.6982,0.5718,0.0012,0.208,0.0003,2024-06-04 05:38:03
esm-t33,2,350,50,0.6348,0.7728,0.6858,0.6999,0.5891,0.0012,0.2223,0.0003,2024-06-04 05:43:58
esm-t33,2,350,75,0.6172,0.7963,0.6871,0.7286,0.5822,0.0011,0.1967,0.0003,2024-06-04 05:50:00
esm-t33,2,350,100,0.6603,0.7486,0.688,0.7073,0.6069,0.0014,0.1912,0.0003,2024-06-04 05:56:10
esm-t33,2,350,125,0.6364,0.7658,0.6833,0.6949,0.5884,0.0013,0.2081,0.0003,2024-06-04 06:02:30
esm-t33,3,650,50,0.5923,0.7595,0.657,0.6784,0.6912,0.001,0.1612,0.0003,2024-06-04 06:08:57
esm-t33,3,650,75,0.6488,0.7183,0.6682,0.6753,0.687,0.0011,0.1701,0.0003,2024-06-04 06:15:26
esm-t33,3,650,100,0.6533,0.7256,0.6743,0.6646,0.694,0.0011,0.1648,0.0003,2024-06-04 06:21:59
esm-t33,3,650,125,0.6265,0.7088,0.6513,0.6473,0.6874,0.0017,0.148,0.0003,2024-06-04 06:28:40
esm-t33,3,550,50,0.6607,0.704,0.6669,0.6696,0.6791,0.0011,0.1524,0.0003,2024-06-04 06:34:51
esm-t33,3,550,75,0.5946,0.7347,0.6462,0.6671,0.6797,0.0007,0.1703,0.0003,2024-06-04 06:41:06
esm-t33,3,550,100,0.6171,0.7446,0.6637,0.6794,0.687,0.0016,0.1579,0.0003,2024-06-04 06:47:28
esm-t33,3,550,125,0.6201,0.7323,0.6593,0.6765,0.6786,0.0019,0.1664,0.0003,2024-06-04 06:53:53
esm-t33,3,450,50,0.6514,0.7634,0.6915,0.68,0.6738,0.0014,0.1706,0.0003,2024-06-04 06:59:53
esm-t33,3,450,75,0.604,0.77,0.6679,0.6859,0.6625,0.0009,0.1651,0.0003,2024-06-04 07:05:59
esm-t33,3,450,100,0.6193,0.6947,0.6395,0.645,0.6735,0.0012,0.159,0.0003,2024-06-04 07:12:08
esm-t33,3,450,125,0.6086,0.7509,0.6614,0.6804,0.6732,0.0013,0.1656,0.0003,2024-06-04 07:18:24
esm-t33,3,350,50,0.6491,0.7307,0.6728,0.6958,0.6866,0.0008,0.1593,0.0003,2024-06-04 07:24:18
