model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,base_lr,max_lr,cycle_size,model_kwargs.freeze_layer_count,pretrained_weight_path,hp_combination,finished_at
esm-t33-pretrained,1,0.6508,0.7178,0.678,0.6667,0.9419,0.7212,-5.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33_1.pt,12,2024-09-29 01:49:20
esm-t33-pretrained,1,0.6212,0.6377,0.6271,0.6607,0.9182,0.7309,-5.0,0.0003,0.003,10,30,weight/atpbind3d_esm-t33_1.pt,13,2024-09-29 01:49:35
esm-t33-pretrained,1,0.6227,0.7224,0.6949,0.6029,0.9551,0.7411,-5.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,14,2024-09-29 01:49:49
esm-t33-pretrained,1,0.5805,0.5548,0.6271,0.5873,0.8991,0.7309,-5.0,0.0003,0.003,10,30,empty,15,2024-09-29 01:50:03
esm-t33-pretrained,2,0.5627,0.6542,0.4746,0.7179,0.9341,0.7033,0.6,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33_1.pt,0,2024-09-29 01:50:09
esm-t33-pretrained,2,0.6325,0.6985,0.5424,0.7805,0.9141,0.7033,0.6,0.0003,0.003,3,30,weight/atpbind3d_esm-t33_1.pt,1,2024-09-29 01:50:16
esm-t33-pretrained,2,0.5987,0.7137,0.4068,0.9231,0.9324,0.7084,0.6,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,2,2024-09-29 01:50:23
esm-t33-pretrained,2,0.6789,0.7199,0.661,0.7358,0.9276,0.6944,-1.2,0.0003,0.003,3,30,empty,3,2024-09-29 01:50:29
esm-t33-pretrained,2,0.6157,0.6615,0.5424,0.7442,0.9274,0.7435,0.8,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33_1.pt,4,2024-09-29 01:50:37
esm-t33-pretrained,2,0.5361,0.6594,0.5593,0.569,0.9013,0.7033,0.0,0.0003,0.003,4,30,weight/atpbind3d_esm-t33_1.pt,5,2024-09-29 01:50:45
esm-t33-pretrained,2,0.6196,0.7195,0.5254,0.775,0.9317,0.7577,0.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,6,2024-09-29 01:50:53
esm-t33-pretrained,2,0.552,0.6663,0.4407,0.7429,0.9331,0.7901,0.2,0.0003,0.003,4,30,empty,7,2024-09-29 01:51:00
esm-t33-pretrained,2,0.6325,0.692,0.5424,0.7805,0.9133,0.7242,0.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33_1.pt,8,2024-09-29 01:51:10
esm-t33-pretrained,2,0.6155,0.6894,0.661,0.619,0.9179,0.7384,-2.8,0.0003,0.003,6,30,weight/atpbind3d_esm-t33_1.pt,9,2024-09-29 01:51:21
esm-t33-pretrained,2,0.56,0.7012,0.3898,0.8519,0.9448,0.7577,1.6,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,10,2024-09-29 01:51:31
esm-t33-pretrained,2,0.6413,0.6982,0.5424,0.8,0.9194,0.7546,-0.2,0.0003,0.003,6,30,empty,11,2024-09-29 01:51:40
esm-t33-pretrained,2,0.5604,0.7071,0.4915,0.6905,0.9415,0.7322,-1.2,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33_1.pt,12,2024-09-29 01:51:54
esm-t33-pretrained,2,0.594,0.6468,0.661,0.5821,0.9139,0.7231,-3.2,0.0003,0.003,10,30,weight/atpbind3d_esm-t33_1.pt,13,2024-09-29 01:52:08
esm-t33-pretrained,2,0.5668,0.6957,0.4237,0.8065,0.9448,0.7435,-0.8,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,14,2024-09-29 01:52:22
