model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,base_lr,max_lr,cycle_size,model_kwargs.lm_freeze_layer_count,pretrained_weight_path,hp_combination,finished_at
esm-t33-gearnet-pretrained,0,0.6001,0.6901,0.4237,0.8929,0.9337,0.8895,1.2,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,24,2024-10-01 00:15:58
esm-t33-gearnet-pretrained,0,0.3454,0.6466,0.1695,0.7692,0.9366,0.9066,1.8,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,25,2024-10-01 00:16:19
esm-t33-gearnet-pretrained,0,0.4827,0.6916,0.3051,0.8182,0.943,0.8918,2.4,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,26,2024-10-01 00:16:39
esm-t33-gearnet-pretrained,0,0.4924,0.6862,0.2542,1.0,0.9114,0.898,2.4,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,27,2024-10-01 00:16:59
esm-t33-gearnet-pretrained,0,0.5844,0.637,0.5593,0.66,0.9294,0.8678,-4.6,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,28,2024-10-01 00:17:18
esm-t33-gearnet-pretrained,0,0.5682,0.6417,0.6102,0.5806,0.9214,0.8722,-4.2,0.0003,0.003,10,30,empty,29,2024-10-01 00:17:38
esm-t33-gearnet-pretrained,1,0.3265,0.33,0.2881,0.4474,0.8229,0.238,-4.8,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,0,2024-10-01 00:17:45
esm-t33-gearnet-pretrained,1,0.1144,0.3335,1.0,0.0733,0.8457,0.1038,3.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,1,2024-10-01 00:17:51
esm-t33-gearnet-pretrained,1,0.3877,0.4136,0.5085,0.3659,0.8189,0.4838,-3.8,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,2,2024-10-01 00:17:58
esm-t33-gearnet-pretrained,1,0.0,0.064,0.0,,0.5437,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,3,2024-10-01 00:18:04
esm-t33-gearnet-pretrained,1,0.2294,0.2684,0.5932,0.1643,0.7636,0.3546,-2.8,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,4,2024-10-01 00:18:11
esm-t33-gearnet-pretrained,1,-0.0184,0.0436,0.0,0.0,0.3536,0.0,-5.0,0.0003,0.003,2,30,empty,5,2024-10-01 00:18:17
esm-t33-gearnet-pretrained,1,0.5853,0.6935,0.5424,0.6809,0.9474,0.7288,1.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,6,2024-10-01 00:18:25
esm-t33-gearnet-pretrained,1,0.6109,0.7108,0.5763,0.6939,0.9243,0.761,2.8,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,7,2024-10-01 00:18:34
esm-t33-gearnet-pretrained,1,0.4875,0.5557,0.5932,0.4605,0.8867,0.5873,2.8,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,8,2024-10-01 00:18:42
esm-t33-gearnet-pretrained,1,0.4187,0.4758,0.5424,0.3902,0.8807,0.6005,0.6,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,9,2024-10-01 00:18:50
esm-t33-gearnet-pretrained,1,0.3322,0.3873,0.4068,0.3478,0.8614,0.4882,-0.6,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,10,2024-10-01 00:18:59
esm-t33-gearnet-pretrained,1,0.2894,0.2813,0.2712,0.3902,0.7508,0.5602,-0.6,0.0003,0.003,3,30,empty,11,2024-10-01 00:19:07
esm-t33-gearnet-pretrained,1,0.6129,0.6362,0.5593,0.7174,0.8846,0.7309,-1.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,12,2024-10-01 00:19:17
esm-t33-gearnet-pretrained,1,0.5143,0.5847,0.4068,0.7059,0.9099,0.7037,-0.2,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,13,2024-10-01 00:19:27
esm-t33-gearnet-pretrained,1,0.5289,0.6283,0.4237,0.7143,0.9361,0.7212,0.8,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,14,2024-10-01 00:19:37
esm-t33-gearnet-pretrained,1,0.4221,0.542,0.3559,0.5676,0.9145,0.7039,-0.4,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,15,2024-10-01 00:19:46
esm-t33-gearnet-pretrained,1,0.5629,0.6118,0.6102,0.5714,0.935,0.6507,1.6,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,16,2024-10-01 00:19:56
esm-t33-gearnet-pretrained,1,0.5631,0.6688,0.4068,0.8276,0.931,0.7247,2.2,0.0003,0.003,4,30,empty,17,2024-10-01 00:20:06
esm-t33-gearnet-pretrained,1,0.605,0.6669,0.4576,0.8438,0.9279,0.7247,-0.2,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,18,2024-10-01 00:20:20
esm-t33-gearnet-pretrained,1,0.5842,0.6872,0.5932,0.625,0.9378,0.7576,-3.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,19,2024-10-01 00:20:33
esm-t33-gearnet-pretrained,1,0.587,0.6513,0.5254,0.7045,0.9436,0.7463,-3.2,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,20,2024-10-01 00:20:46
esm-t33-gearnet-pretrained,1,0.4376,0.5194,0.3729,0.5789,0.9207,0.6939,-4.4,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,21,2024-10-01 00:21:00
esm-t33-gearnet-pretrained,1,0.552,0.631,0.5085,0.6522,0.9157,0.7309,-1.6,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,22,2024-10-01 00:21:13
esm-t33-gearnet-pretrained,1,0.4672,0.4806,0.3898,0.6216,0.8709,0.7212,-2.4,0.0003,0.003,6,30,empty,23,2024-10-01 00:21:27
esm-t33-gearnet-pretrained,1,0.6155,0.6467,0.661,0.619,0.9258,0.743,-4.4,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,24,2024-10-01 00:21:47
esm-t33-gearnet-pretrained,1,0.615,0.5908,0.6441,0.6333,0.9405,0.7479,-2.4,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,25,2024-10-01 00:22:08
esm-t33-gearnet-pretrained,1,0.5783,0.6182,0.5424,0.6667,0.9368,0.7621,-2.6,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,26,2024-10-01 00:22:28
esm-t33-gearnet-pretrained,1,0.6181,0.6277,0.5763,0.7083,0.9092,0.7576,-1.8,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,27,2024-10-01 00:22:49
esm-t33-gearnet-pretrained,1,0.5556,0.66,0.3559,0.913,0.9232,0.7372,1.6,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,28,2024-10-01 00:23:09
esm-t33-gearnet-pretrained,1,0.5124,0.5721,0.4915,0.5918,0.8578,0.7411,-4.8,0.0003,0.003,10,30,empty,29,2024-10-01 00:23:30
esm-t33-gearnet-pretrained,2,0.2127,0.2391,0.1186,0.4667,0.7874,0.315,-0.2,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,0,2024-10-01 00:23:37
esm-t33-gearnet-pretrained,2,0.0802,0.1248,0.0339,0.2857,0.7005,0.2724,-3.4,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,1,2024-10-01 00:23:43
esm-t33-gearnet-pretrained,2,0.0,0.044,0.0,,0.3581,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,2,2024-10-01 00:23:50
esm-t33-gearnet-pretrained,2,0.0,0.0471,0.0,,0.4034,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,3,2024-10-01 00:23:56
esm-t33-gearnet-pretrained,2,-0.0082,0.0508,0.0,0.0,0.4492,0.0,2.4,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,4,2024-10-01 00:24:03
esm-t33-gearnet-pretrained,2,0.0,0.0424,0.0,,0.3196,0.0,0.6,0.0003,0.003,2,30,empty,5,2024-10-01 00:24:09
esm-t33-gearnet-pretrained,2,0.5378,0.6503,0.3898,0.7931,0.9241,0.7182,-0.6,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,6,2024-10-01 00:24:17
esm-t33-gearnet-pretrained,2,0.5114,0.623,0.4746,0.6087,0.9356,0.7116,-1.4,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,7,2024-10-01 00:24:25
esm-t33-gearnet-pretrained,2,0.5795,0.6105,0.5254,0.6889,0.9194,0.7346,1.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,8,2024-10-01 00:24:34
esm-t33-gearnet-pretrained,2,0.0,0.0693,0.0,,0.5907,0.0,0.4,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,9,2024-10-01 00:24:42
esm-t33-gearnet-pretrained,2,0.2828,0.2454,0.0847,1.0,0.7604,0.2705,0.6,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,10,2024-10-01 00:24:50
esm-t33-gearnet-pretrained,2,-0.0082,0.0407,0.0,0.0,0.2912,0.0,2.4,0.0003,0.003,3,30,empty,11,2024-10-01 00:24:58
esm-t33-gearnet-pretrained,2,0.6211,0.7597,0.661,0.629,0.9597,0.7718,0.4,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,12,2024-10-01 00:25:08
esm-t33-gearnet-pretrained,2,0.6214,0.7119,0.4915,0.8286,0.9434,0.7718,1.8,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,13,2024-10-01 00:25:18
esm-t33-gearnet-pretrained,2,0.56,0.6908,0.3898,0.8519,0.9277,0.7862,1.6,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,14,2024-10-01 00:25:28
esm-t33-gearnet-pretrained,2,0.3606,0.4121,0.3051,0.5,0.8986,0.5713,-5.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,15,2024-10-01 00:25:37
esm-t33-gearnet-pretrained,2,0.5213,0.5759,0.5254,0.5741,0.8975,0.6552,-2.2,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,16,2024-10-01 00:25:47
esm-t33-gearnet-pretrained,2,0.3275,0.3511,0.1864,0.6471,0.8131,0.6406,0.2,0.0003,0.003,4,30,empty,17,2024-10-01 00:25:57
esm-t33-gearnet-pretrained,2,0.5966,0.7103,0.5932,0.6481,0.9458,0.7546,-2.6,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,18,2024-10-01 00:26:10
esm-t33-gearnet-pretrained,2,0.5148,0.6975,0.339,0.8333,0.9321,0.7997,1.2,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,19,2024-10-01 00:26:24
esm-t33-gearnet-pretrained,2,0.7026,0.7719,0.6271,0.8222,0.9332,0.7718,0.6,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,20,2024-10-01 00:26:37
esm-t33-gearnet-pretrained,2,0.6535,0.7554,0.5932,0.7609,0.9348,0.7381,-0.4,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,21,2024-10-01 00:26:50
esm-t33-gearnet-pretrained,2,0.7022,0.7334,0.6949,0.7455,0.9289,0.777,-1.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,22,2024-10-01 00:27:04
esm-t33-gearnet-pretrained,2,0.4706,0.4729,0.3051,0.7826,0.8265,0.6285,0.6,0.0003,0.003,6,30,empty,23,2024-10-01 00:27:17
esm-t33-gearnet-pretrained,2,0.6446,0.7164,0.5085,0.8571,0.9351,0.7901,1.6,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,24,2024-10-01 00:27:37
esm-t33-gearnet-pretrained,2,0.6117,0.725,0.4915,0.8056,0.9373,0.7901,2.2,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,25,2024-10-01 00:27:58
esm-t33-gearnet-pretrained,2,0.6908,0.7676,0.5424,0.9143,0.9232,0.7901,2.2,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,26,2024-10-01 00:28:18
