model_key,valid_fold,model_kwargs.lm_freeze_layer_count,model_kwargs.node_h_dim,model_kwargs.num_layers,model_kwargs.residual,cycle_size,hp_combination,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,finished_at,max_lr
esm-t33-gvp,0,31,"(512, 16)",3,False,20,26,0.0,0.0621,0.0,,0.5792,0.0,-3.0,2024-09-10 23:44:02,0.002
esm-t33-gvp,0,31,"(512, 16)",3,False,10,27,0.0,0.0574,0.0,,0.5849,0.0,-3.0,2024-09-10 23:51:55,0.002
esm-t33-gvp,0,31,"(512, 16)",4,True,20,28,0.6653,0.6903,0.6098,0.7555,0.9274,0.6808,-3.0,2024-09-11 00:08:22,0.002
esm-t33-gvp,0,31,"(512, 16)",4,True,10,29,0.6401,0.6756,0.592,0.7241,0.9381,0.6458,-0.7,2024-09-11 00:16:51,0.002
esm-t33-gvp,0,31,"(512, 16)",4,False,20,30,0.1921,0.1368,0.5861,0.1206,0.7592,0.1767,-2.6,2024-09-11 00:33:06,0.002
esm-t33-gvp,0,31,"(512, 16)",4,False,10,31,0.6349,0.6662,0.5786,0.729,0.9246,0.653,-3.0,2024-09-11 00:41:31,0.002
esm-t33-gvp,1,30,"(256, 16)",3,True,20,0,0.6792,0.6999,0.6543,0.7338,0.9446,0.6018,-2.9,2024-09-11 00:55:53,0.002
esm-t33-gvp,1,30,"(256, 16)",3,True,10,1,0.6755,0.6811,0.6157,0.7699,0.9433,0.5878,-1.5,2024-09-11 01:03:19,0.002
esm-t33-gvp,1,30,"(256, 16)",3,False,20,2,0.6781,0.6962,0.6261,0.7631,0.9239,0.6115,-2.9,2024-09-11 01:17:39,0.002
esm-t33-gvp,1,30,"(256, 16)",3,False,10,3,0.6711,0.6945,0.6558,0.7164,0.9353,0.585,-2.3,2024-09-11 01:25:04,0.002
esm-t33-gvp,1,30,"(256, 16)",4,True,20,4,0.6866,0.6995,0.6632,0.7388,0.9392,0.6028,-2.6,2024-09-11 01:39:59,0.002
esm-t33-gvp,1,30,"(256, 16)",4,True,10,5,0.6697,0.6999,0.638,0.7325,0.9464,0.5755,-1.8,2024-09-11 01:47:40,0.002
esm-t33-gvp,1,30,"(256, 16)",4,False,20,6,0.2449,0.1806,0.4985,0.1798,0.8072,0.1686,-2.9,2024-09-11 02:02:31,0.002
esm-t33-gvp,1,30,"(256, 16)",4,False,10,7,0.667,0.6649,0.6558,0.7083,0.9336,0.59,-2.7,2024-09-11 02:10:12,0.002
esm-t33-gvp,1,30,"(512, 16)",3,True,20,8,0.6844,0.6509,0.6454,0.7539,0.8718,0.5903,-3.0,2024-09-11 02:25:59,0.002
esm-t33-gvp,1,30,"(512, 16)",3,True,10,9,0.6762,0.6948,0.6409,0.7423,0.9437,0.6037,-3.0,2024-09-11 02:34:08,0.002
esm-t33-gvp,1,30,"(512, 16)",3,False,20,10,0.6796,0.6921,0.6395,0.7509,0.9257,0.5921,-2.8,2024-09-11 02:49:49,0.002
esm-t33-gvp,1,30,"(512, 16)",3,False,10,11,0.6627,0.6836,0.6128,0.7468,0.9486,0.5835,-1.1,2024-09-11 02:57:55,0.002
esm-t33-gvp,1,30,"(512, 16)",4,True,20,12,0.6904,0.7091,0.6588,0.7513,0.9383,0.59,-2.8,2024-09-11 03:14:46,0.002
esm-t33-gvp,1,30,"(512, 16)",4,True,10,13,0.6647,0.6721,0.6439,0.7162,0.9367,0.5704,-0.1,2024-09-11 03:23:27,0.002
esm-t33-gvp,1,30,"(512, 16)",4,False,20,14,0.2447,0.1781,0.5341,0.1705,0.8152,0.1635,-3.0,2024-09-11 03:40:06,0.002
esm-t33-gvp,1,30,"(512, 16)",4,False,10,15,0.6819,0.6978,0.6573,0.7359,0.9395,0.5949,-1.9,2024-09-11 03:48:42,0.002
esm-t33-gvp,1,31,"(256, 16)",3,True,20,16,0.6618,0.6264,0.6276,0.7281,0.9364,0.593,-2.8,2024-09-11 04:02:41,0.002
esm-t33-gvp,1,31,"(256, 16)",3,True,10,17,0.662,0.6829,0.6217,0.7351,0.9475,0.5817,-1.4,2024-09-11 04:09:56,0.002
esm-t33-gvp,1,31,"(256, 16)",3,False,20,18,0.317,0.2081,0.4703,0.2712,0.8304,0.262,-2.5,2024-09-11 04:23:53,0.002
esm-t33-gvp,1,31,"(256, 16)",3,False,10,19,0.6567,0.6556,0.6098,0.7379,0.8466,0.577,-3.0,2024-09-11 04:31:08,0.002
esm-t33-gvp,1,31,"(256, 16)",4,True,20,20,0.6514,0.693,0.5801,0.7622,0.928,0.5688,-2.4,2024-09-11 04:45:41,0.002
esm-t33-gvp,1,31,"(256, 16)",4,True,10,21,0.6652,0.6759,0.6172,0.7469,0.9445,0.5831,-1.7,2024-09-11 04:53:11,0.002
esm-t33-gvp,1,31,"(256, 16)",4,False,20,22,0.2278,0.1658,0.6469,0.1357,0.7955,0.1482,-2.9,2024-09-11 05:07:39,0.002
esm-t33-gvp,1,31,"(256, 16)",4,False,10,23,0.6537,0.6999,0.589,0.7562,0.9432,0.5801,-0.9,2024-09-11 05:15:10,0.002
esm-t33-gvp,1,31,"(512, 16)",3,True,20,24,0.6852,0.6768,0.6409,0.7606,0.9393,0.5943,-2.9,2024-09-11 05:30:37,0.002
esm-t33-gvp,1,31,"(512, 16)",3,True,10,25,0.6671,0.6968,0.6217,0.7456,0.947,0.5826,-2.6,2024-09-11 05:38:35,0.002
esm-t33-gvp,1,31,"(512, 16)",3,False,20,26,0.1588,0.1166,0.5237,0.1075,0.7328,0.1137,-3.0,2024-09-11 05:53:52,0.002
esm-t33-gvp,1,31,"(512, 16)",3,False,10,27,0.6491,0.6809,0.5712,0.7685,0.931,0.586,0.3,2024-09-11 06:01:48,0.002
esm-t33-gvp,1,31,"(512, 16)",4,True,20,28,0.6673,0.6789,0.6424,0.7229,0.9431,0.5834,-2.1,2024-09-11 06:18:16,0.002
esm-t33-gvp,1,31,"(512, 16)",4,True,10,29,0.6659,0.6921,0.6335,0.7299,0.9429,0.5731,-2.6,2024-09-11 06:26:47,0.002
esm-t33-gvp,1,31,"(512, 16)",4,False,20,30,0.2599,0.1903,0.4911,0.1968,0.8082,0.1811,-2.6,2024-09-11 06:43:06,0.002
esm-t33-gvp,1,31,"(512, 16)",4,False,10,31,0.6454,0.6867,0.638,0.6847,0.934,0.5774,-2.6,2024-09-11 06:51:32,0.002
esm-t33-gvp,2,30,"(256, 16)",3,True,20,0,0.6672,0.693,0.6172,0.7509,0.9361,0.6015,-2.8,2024-09-11 07:05:53,0.002
esm-t33-gvp,2,30,"(256, 16)",3,True,10,1,0.6724,0.6887,0.6142,0.7652,0.944,0.5923,-2.2,2024-09-11 07:13:19,0.002
esm-t33-gvp,2,30,"(256, 16)",3,False,20,2,0.6928,0.7122,0.6306,0.7885,0.9157,0.602,-2.6,2024-09-11 07:27:38,0.002
esm-t33-gvp,2,30,"(256, 16)",3,False,10,3,0.6762,0.7143,0.6691,0.7125,0.9367,0.5957,-2.9,2024-09-11 07:35:02,0.002
esm-t33-gvp,2,30,"(256, 16)",4,True,20,4,0.6746,0.7062,0.6202,0.7628,0.9373,0.6026,-2.7,2024-09-11 07:49:58,0.002
esm-t33-gvp,2,30,"(256, 16)",4,True,10,5,0.6708,0.7162,0.5608,0.8308,0.9401,0.5806,-1.1,2024-09-11 07:57:42,0.002
esm-t33-gvp,2,30,"(256, 16)",4,False,20,6,0.2443,0.1721,0.5504,0.1664,0.807,0.1922,-3.0,2024-09-11 08:12:31,0.002
esm-t33-gvp,2,30,"(256, 16)",4,False,10,7,0.646,0.6862,0.6157,0.7094,0.9353,0.6042,-3.0,2024-09-11 08:20:12,0.002
esm-t33-gvp,2,30,"(512, 16)",3,True,20,8,0.6684,0.6782,0.6009,0.7729,0.9212,0.5934,-2.9,2024-09-11 08:35:57,0.002
esm-t33-gvp,2,30,"(512, 16)",3,True,10,9,0.6713,0.6926,0.6602,0.712,0.9172,0.5929,-3.0,2024-09-11 08:44:05,0.002
esm-t33-gvp,2,30,"(512, 16)",3,False,20,10,0.2089,0.1513,0.4748,0.1527,0.7865,0.1555,-3.0,2024-09-11 08:59:43,0.002
esm-t33-gvp,2,30,"(512, 16)",3,False,10,11,0.6674,0.6803,0.6202,0.7478,0.9402,0.5783,-0.9,2024-09-11 09:07:49,0.002
esm-t33-gvp,2,30,"(512, 16)",4,True,20,12,0.6726,0.6991,0.6202,0.7586,0.9244,0.5819,-2.9,2024-09-11 09:24:36,0.002
esm-t33-gvp,2,30,"(512, 16)",4,True,10,13,0.6763,0.702,0.6217,0.7646,0.949,0.59,-3.0,2024-09-11 09:33:15,0.002
esm-t33-gvp,2,30,"(512, 16)",4,False,20,14,0.6774,0.6528,0.6231,0.765,0.8604,0.6078,-2.6,2024-09-11 09:49:52,0.002
esm-t33-gvp,2,30,"(512, 16)",4,False,10,15,0.6673,0.7005,0.5935,0.7797,0.9249,0.5835,-2.5,2024-09-11 09:58:26,0.002
