model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,hp_combination,finished_at
esm-t33-gearnet,0,-0.0193,0.0492,0.0,0.0,0.3966,0.0,-1.4,0,2024-09-24 00:48:30
esm-t33-gearnet,1,-0.0314,0.0462,0.0,0.0,0.3841,0.0,-5.0,0,2024-09-24 00:48:42
esm-t33-gearnet,2,0.0683,0.0586,0.0114,0.5,0.3971,0.0,-2.2,0,2024-09-24 00:48:54
esm-t33-gearnet,3,0.0021,0.0597,0.0114,0.0667,0.4013,0.0,-4.8,0,2024-09-24 00:49:06
esm-t33-gearnet,4,-0.0156,0.055,0.0227,0.0417,0.4409,0.0,-5.0,0,2024-09-24 00:49:17
