model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,base_lr,max_lr,cycle_size,model_kwargs.freeze_layer_count,pretrained_weight_path,hp_combination,finished_at
esm-t33-pretrained,1,0.8215,0.8261,0.7833,0.8868,0.9419,0.9087,-0.2,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr3e-4_0.pt,6,2024-10-01 15:05:19
esm-t33-pretrained,1,0.784,0.8549,0.8833,0.726,0.9684,0.9087,-3.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr1e-4_0.pt,7,2024-10-01 15:05:25
esm-t33-pretrained,1,0.813,0.8613,0.7833,0.8704,0.9658,0.9087,-1.6,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr3e-5_0.pt,8,2024-10-01 15:05:30
esm-t33-pretrained,1,0.8204,0.8682,0.8333,0.8333,0.9671,0.9087,-1.6,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr1e-5_0.pt,9,2024-10-01 15:05:36
esm-t33-pretrained,1,0.786,0.8715,0.7667,0.8364,0.9555,0.9057,-1.4,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr3e-6_0.pt,10,2024-10-01 15:05:41
esm-t33-pretrained,1,0.6595,0.8124,0.7833,0.6026,0.9532,0.8824,-2.0,0.0003,0.003,4,30,empty,11,2024-10-01 15:05:46
esm-t33-pretrained,1,0.7169,0.8368,0.55,0.9706,0.9487,0.8864,1.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr3e-4_0.pt,12,2024-10-01 15:05:52
esm-t33-pretrained,1,0.7485,0.8531,0.7667,0.7667,0.9521,0.9057,-2.8,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr1e-4_0.pt,13,2024-10-01 15:05:59
esm-t33-pretrained,1,0.8421,0.8869,0.8167,0.8909,0.9565,0.9087,0.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr3e-5_0.pt,14,2024-10-01 15:06:05
esm-t33-pretrained,1,0.8122,0.8729,0.8667,0.7879,0.966,0.9087,-5.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr1e-5_0.pt,15,2024-10-01 15:06:12
esm-t33-pretrained,1,0.7739,0.86,0.8167,0.7656,0.9578,0.8743,-4.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr3e-6_0.pt,16,2024-10-01 15:06:18
esm-t33-pretrained,1,0.8409,0.8802,0.8667,0.8387,0.9699,0.9087,-2.0,0.0003,0.003,6,30,empty,17,2024-10-01 15:06:24
esm-t33-pretrained,1,0.7665,0.829,0.7833,0.7833,0.9484,0.8712,-5.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr3e-4_0.pt,18,2024-10-01 15:06:33
esm-t33-pretrained,1,0.8004,0.8664,0.9,0.7397,0.9539,0.9087,-5.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr1e-4_0.pt,19,2024-10-01 15:06:41
esm-t33-pretrained,1,0.7569,0.8702,0.6833,0.8723,0.9476,0.8864,0.2,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr3e-5_0.pt,20,2024-10-01 15:06:50
esm-t33-pretrained,1,0.7661,0.8657,0.6833,0.8913,0.9637,0.8864,0.4,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr1e-5_0.pt,21,2024-10-01 15:06:58
esm-t33-pretrained,1,0.7789,0.854,0.7167,0.8776,0.9621,0.8712,-5.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr3e-6_0.pt,22,2024-10-01 15:07:07
esm-t33-pretrained,1,0.7879,0.8613,0.7167,0.8958,0.9491,0.8712,-5.0,0.0003,0.003,10,30,empty,23,2024-10-01 15:07:14
esm-t33-pretrained,2,0.7534,0.8062,0.7167,0.8269,0.92,0.814,-2.2,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr3e-4_0.pt,0,2024-10-01 15:07:19
esm-t33-pretrained,2,0.7422,0.8272,0.6333,0.9048,0.9552,0.7684,-1.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr1e-4_0.pt,1,2024-10-01 15:07:25
esm-t33-pretrained,2,0.755,0.8303,0.6667,0.8889,0.9451,0.8065,-0.4,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr3e-5_0.pt,2,2024-10-01 15:07:30
esm-t33-pretrained,2,0.7789,0.7716,0.7167,0.8776,0.9241,0.81,-5.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr1e-5_0.pt,3,2024-10-01 15:07:35
esm-t33-pretrained,2,0.7897,0.813,0.7333,0.88,0.9197,0.7974,-1.6,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr3e-6_0.pt,4,2024-10-01 15:07:40
esm-t33-pretrained,2,0.5374,0.708,0.3667,0.8462,0.9415,0.6632,0.2,0.0003,0.003,3,30,empty,5,2024-10-01 15:07:43
esm-t33-pretrained,2,0.7076,0.7797,0.5833,0.8974,0.901,0.7897,0.6,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr3e-4_0.pt,6,2024-10-01 15:07:49
esm-t33-pretrained,2,0.8256,0.8336,0.8167,0.8596,0.9408,0.8303,-4.8,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr1e-4_0.pt,7,2024-10-01 15:07:54
esm-t33-pretrained,2,0.7661,0.8132,0.6833,0.8913,0.9312,0.8231,1.2,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr3e-5_0.pt,8,2024-10-01 15:08:00
esm-t33-pretrained,2,0.7661,0.8172,0.6833,0.8913,0.9337,0.8367,1.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr1e-5_0.pt,9,2024-10-01 15:08:05
esm-t33-pretrained,2,0.7376,0.7978,0.75,0.7627,0.8984,0.7974,-2.6,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr3e-6_0.pt,10,2024-10-01 15:08:11
esm-t33-pretrained,2,0.5904,0.7889,0.3833,0.9583,0.9324,0.7489,0.6,0.0003,0.003,4,30,empty,11,2024-10-01 15:08:15
esm-t33-pretrained,2,0.7967,0.8058,0.7833,0.8393,0.9012,0.814,-5.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr3e-4_0.pt,12,2024-10-01 15:08:22
esm-t33-pretrained,2,0.755,0.8152,0.6667,0.8889,0.9098,0.7933,0.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr1e-4_0.pt,13,2024-10-01 15:08:28
esm-t33-pretrained,2,0.7771,0.8105,0.7,0.8936,0.9143,0.8065,0.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr3e-5_0.pt,14,2024-10-01 15:08:35
esm-t33-pretrained,2,0.7986,0.8086,0.7333,0.898,0.9291,0.81,-2.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr1e-5_0.pt,15,2024-10-01 15:08:41
