model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,model_kwargs.lm_freeze_layer_count,max_slice_length,padding,hp_combination,finished_at,pos_weight_factor,task_kwargs.criterion,task_kwargs.focal_loss_gamma,task_kwargs.focal_loss_alpha
esm-t33-gearnet,2,0.6926,0.6973,0.6469,0.769,0.9213,0.6064,-4.4,30.0,500.0,50.0,2,2024-10-17 19:52:52,,,,
esm-t33-gearnet,2,0.6801,0.7079,0.6484,0.7419,0.9207,0.6248,-2.0,30.0,600.0,50.0,3,2024-10-17 20:03:27,,,,
esm-t33-gearnet,2,0.6919,0.6998,0.6691,0.743,0.9268,0.6309,-4.0,30.0,700.0,50.0,4,2024-10-17 20:14:13,,,,
esm-t33-gearnet,2,0.6674,0.6927,0.6409,0.7248,0.916,0.6175,-2.2,30.0,800.0,50.0,5,2024-10-17 20:25:12,,,,
esm-t33-gearnet,2,0.6969,0.7204,0.6424,0.783,0.9268,0.6125,-2.2,30.0,900.0,50.0,6,2024-10-17 20:36:16,,,,
esm-t33-gearnet,2,0.6716,0.6988,0.6513,0.722,0.9216,0.6116,-3.6,30.0,1000.0,50.0,7,2024-10-17 20:47:36,,,,
esm-t33-gearnet,3,0.6702,0.6813,0.6306,0.7417,0.9174,0.6958,-3.2,30.0,300.0,50.0,0,2024-10-17 20:57:55,,,,
esm-t33-gearnet,3,0.6794,0.6819,0.6231,0.7692,0.9269,0.6785,-2.6,30.0,400.0,50.0,1,2024-10-17 21:08:08,,,,
esm-t33-gearnet,3,0.6807,0.6875,0.6484,0.7432,0.9208,0.6817,-3.2,30.0,500.0,50.0,2,2024-10-17 21:18:30,,,,
esm-t33-gearnet,3,0.64,0.6864,0.5371,0.7939,0.9257,0.6829,1.8,30.0,600.0,50.0,3,2024-10-17 21:29:05,,,,
esm-t33-gearnet,3,0.6777,0.677,0.6246,0.7641,0.9237,0.6923,-2.6,30.0,700.0,50.0,4,2024-10-17 21:39:50,,,,
esm-t33-gearnet,3,0.6545,0.6892,0.5757,0.7745,0.9327,0.694,1.2,30.0,800.0,50.0,5,2024-10-17 21:50:48,,,,
esm-t33-gearnet,3,0.6822,0.6813,0.6261,0.7715,0.9257,0.6872,-1.8,30.0,900.0,50.0,6,2024-10-17 22:01:42,,,,
esm-t33-gearnet,3,0.6752,0.6884,0.6276,0.7554,0.9194,0.6937,-2.6,30.0,1000.0,50.0,7,2024-10-17 22:12:55,,,,
esm-t33-gearnet,4,0.6604,0.6777,0.6113,0.7437,0.9086,0.6579,-2.2,30.0,300.0,50.0,0,2024-10-17 22:23:11,,,,
esm-t33-gearnet,4,0.6525,0.6599,0.5994,0.7413,0.9071,0.6629,-0.4,30.0,400.0,50.0,1,2024-10-17 22:33:15,,,,
esm-t33-gearnet,4,0.6703,0.6897,0.6113,0.7644,0.9242,0.6592,-0.8,30.0,500.0,50.0,2,2024-10-17 22:43:34,,,,
esm-t33-gearnet,4,0.6656,0.6855,0.6469,0.7148,0.9181,0.6709,-3.2,30.0,600.0,50.0,3,2024-10-17 22:54:08,,,,
esm-t33-gearnet,4,0.6729,0.6765,0.6335,0.7439,0.9197,0.6504,-3.0,30.0,700.0,50.0,4,2024-10-17 23:04:55,,,,
esm-t33-gearnet,4,0.674,0.671,0.6231,0.7581,0.9264,0.6682,-0.8,30.0,800.0,50.0,5,2024-10-17 23:15:54,,,,
