model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,hp_combination,finished_at
esm-t33-gearnet,0,0.6012,0.574,0.4429,0.8611,0.8072,0.7648,-0.2,0,2024-09-24 09:47:31
esm-t33-gearnet,1,0.5439,0.5264,0.3857,0.8182,0.8183,0.6649,0.6,0,2024-09-24 09:47:53
esm-t33-gearnet,2,0.5606,0.5345,0.3571,0.9259,0.7892,0.8527,0.4,0,2024-09-24 09:48:14
esm-t33-gearnet,3,0.5756,0.5557,0.4,0.875,0.8265,0.8762,-1.0,0,2024-09-24 09:48:36
esm-t33-gearnet,4,0.5948,0.5815,0.4571,0.8205,0.8204,0.663,-0.4,0,2024-09-24 09:48:58
