model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,hp_combination,finished_at
esm-t33,0,0.712,0.7322,0.6439,0.8127,0.9466,0.8215,-0.2,0,2024-09-26 12:32:06
esm-t33,1,0.7,0.7366,0.6409,0.7912,0.9492,0.8119,0.0,0,2024-09-26 12:59:31
esm-t33,2,0.6964,0.7349,0.6172,0.8125,0.9482,0.7896,-0.6,0,2024-09-26 13:26:41
esm-t33,3,0.6949,0.7327,0.6098,0.8187,0.9477,0.7751,-0.4,0,2024-09-26 13:53:42
esm-t33,4,0.7026,0.7403,0.6261,0.8147,0.9508,0.7783,-0.4,0,2024-09-26 14:21:01
