model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,boost_negative_use_ratio,boost_mask_positive,ensemble_count,last_single_run_mcc,last_single_run_auprc,finished_at
esm-t33-gearnet-pretrained-resiboost,0,0.597,0.5736,0.3714,1.0,0.7782,0.7467,0.9,0.9,True,7,0.5602,0.5657,2024-10-02 17:33:20
esm-t33-gearnet-pretrained-resiboost,0,0.597,0.5728,0.3714,1.0,0.7814,0.7352,0.9,0.9,True,8,0.4808,0.5613,2024-10-02 17:33:42
esm-t33-gearnet-pretrained-resiboost,0,0.597,0.5707,0.3714,1.0,0.781,0.7352,0.9,0.9,True,9,0.4512,0.5514,2024-10-02 17:34:06
esm-t33-gearnet-pretrained-resiboost,0,0.6082,0.5707,0.4,0.9655,0.7811,0.7352,0.8,0.9,True,10,0.4808,0.5666,2024-10-02 17:34:30
esm-t33-gearnet-pretrained-resiboost,0,0.6087,0.562,0.3857,1.0,0.746,0.7297,0.0,0.9,False,1,0.6087,0.562,2024-10-04 01:50:54
esm-t33-gearnet-pretrained-resiboost,0,0.6087,0.5693,0.3857,1.0,0.7519,0.7352,0.6,0.9,False,2,0.3676,0.5639,2024-10-04 01:51:16
esm-t33-gearnet-pretrained-resiboost,0,0.6202,0.5683,0.4,1.0,0.7571,0.7409,0.5,0.9,False,3,0.5476,0.569,2024-10-04 01:51:38
esm-t33-gearnet-pretrained-resiboost,0,0.6202,0.5689,0.4,1.0,0.7607,0.7409,0.7,0.9,False,4,0.4656,0.544,2024-10-04 01:52:00
esm-t33-gearnet-pretrained-resiboost,0,0.597,0.5688,0.3714,1.0,0.7647,0.7409,0.9,0.9,False,5,0.3676,0.5509,2024-10-04 01:52:22
esm-t33-gearnet-pretrained-resiboost,0,0.6082,0.5717,0.4,0.9655,0.7712,0.7297,0.6,0.9,False,6,0.4197,0.5761,2024-10-04 01:52:43
esm-t33-gearnet-pretrained-resiboost,0,0.6087,0.5722,0.3857,1.0,0.7726,0.7526,0.9,0.9,False,7,0.5846,0.5662,2024-10-04 01:53:06
esm-t33-gearnet-pretrained-resiboost,0,0.6202,0.5732,0.4,1.0,0.7777,0.7467,0.9,0.9,False,8,0.5852,0.5891,2024-10-04 01:53:27
esm-t33-gearnet-pretrained-resiboost,0,0.6202,0.5738,0.4,1.0,0.7792,0.7409,0.9,0.9,False,9,0.4197,0.5599,2024-10-04 01:53:50
esm-t33-gearnet-pretrained-resiboost,0,0.6314,0.5746,0.4143,1.0,0.7802,0.7352,0.8,0.9,False,10,0.495,0.5777,2024-10-04 01:54:11
esm-t33-gearnet-pretrained-resiboost,0,0.597,0.5621,0.3714,1.0,0.7546,0.716,0.0,0.9,True,1,0.597,0.5621,2024-10-04 01:54:33
esm-t33-gearnet-pretrained-resiboost,0,0.6082,0.5656,0.4,0.9655,0.7638,0.7297,0.3,0.9,True,2,0.5354,0.567,2024-10-04 01:54:55
esm-t33-gearnet-pretrained-resiboost,0,0.6314,0.5683,0.4143,1.0,0.7688,0.7352,0.5,0.9,True,3,0.5725,0.5722,2024-10-04 01:55:17
esm-t33-gearnet-pretrained-resiboost,0,0.597,0.5701,0.3714,1.0,0.7699,0.7409,0.8,0.9,True,4,0.5354,0.5465,2024-10-04 01:55:38
esm-t33-gearnet-pretrained-resiboost,0,0.597,0.5699,0.3714,1.0,0.7706,0.7467,0.9,0.9,True,5,0.5852,0.5541,2024-10-04 01:56:00
esm-t33-gearnet-pretrained-resiboost,0,0.6314,0.5725,0.4143,1.0,0.7764,0.7409,0.8,0.9,True,6,0.4197,0.5752,2024-10-04 01:56:22
esm-t33-gearnet-pretrained-resiboost,0,0.6087,0.5734,0.3857,1.0,0.7777,0.7409,0.9,0.9,True,7,0.4512,0.5545,2024-10-04 01:56:44
esm-t33-gearnet-pretrained-resiboost,0,0.6314,0.5732,0.4143,1.0,0.7794,0.7297,0.9,0.9,True,8,0.6314,0.5668,2024-10-04 01:57:05
esm-t33-gearnet-pretrained-resiboost,0,0.6202,0.5714,0.4,1.0,0.779,0.7297,0.9,0.9,True,9,0.5602,0.5527,2024-10-04 01:57:27
esm-t33-gearnet-pretrained-resiboost,0,0.6202,0.5718,0.4,1.0,0.7811,0.7467,0.9,0.9,True,10,0.5602,0.5641,2024-10-04 01:57:49
