model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,base_lr,max_lr,cycle_size,model_kwargs.lm_freeze_layer_count,pretrained_weight_path,hp_combination,finished_at
esm-t33-gearnet-pretrained,0,0.7534,0.8146,0.65,0.907,0.9595,0.9476,3.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,24,2024-10-01 04:46:29
esm-t33-gearnet-pretrained,0,0.7515,0.824,0.6167,0.9487,0.9697,0.9315,3.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,25,2024-10-01 04:46:40
esm-t33-gearnet-pretrained,0,0.8234,0.8396,0.8,0.8727,0.9668,0.905,0.2,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,26,2024-10-01 04:46:52
esm-t33-gearnet-pretrained,0,0.7115,0.7741,0.6167,0.8605,0.9527,0.8864,1.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,27,2024-10-01 04:47:03
esm-t33-gearnet-pretrained,0,0.7263,0.772,0.7,0.7925,0.967,0.8914,-0.6,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,28,2024-10-01 04:47:15
esm-t33-gearnet-pretrained,0,0.7661,0.8693,0.6833,0.8913,0.9782,0.9495,1.0,0.0003,0.003,10,30,empty,29,2024-10-01 04:47:26
esm-t33-gearnet-pretrained,1,0.0158,0.0579,0.0167,0.1111,0.3488,0.2351,-1.4,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,0,2024-10-01 04:47:30
esm-t33-gearnet-pretrained,1,0.0,0.06,0.0,,0.4289,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,1,2024-10-01 04:47:35
esm-t33-gearnet-pretrained,1,0.0,0.0475,0.0,,0.2829,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,2,2024-10-01 04:47:40
esm-t33-gearnet-pretrained,1,0.0,0.0473,0.0,,0.2762,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,3,2024-10-01 04:47:44
esm-t33-gearnet-pretrained,1,0.1232,0.3069,0.8833,0.0941,0.8241,0.1635,-1.4,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,4,2024-10-01 04:47:49
esm-t33-gearnet-pretrained,1,0.0,0.0473,0.0,,0.2818,0.0,-5.0,0.0003,0.003,2,30,empty,5,2024-10-01 04:47:53
esm-t33-gearnet-pretrained,1,-0.0097,0.1022,0.0,0.0,0.5506,0.2351,-1.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,6,2024-10-01 04:47:59
esm-t33-gearnet-pretrained,1,0.0,0.0591,0.0,,0.4223,0.0,-5.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,7,2024-10-01 04:48:04
esm-t33-gearnet-pretrained,1,0.0,0.065,0.0,,0.4896,0.0,-5.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,8,2024-10-01 04:48:09
esm-t33-gearnet-pretrained,1,0.0,0.0575,0.0,,0.4207,0.0,-5.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,9,2024-10-01 04:48:15
esm-t33-gearnet-pretrained,1,0.139,0.2697,0.5833,0.1215,0.7342,0.2016,3.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,10,2024-10-01 04:48:20
esm-t33-gearnet-pretrained,1,0.0438,0.1715,1.0,0.0739,0.759,0.0161,2.6,0.0003,0.003,3,30,empty,11,2024-10-01 04:48:25
esm-t33-gearnet-pretrained,1,-0.0307,0.0602,0.0,0.0,0.4172,0.1552,-2.4,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,12,2024-10-01 04:48:32
esm-t33-gearnet-pretrained,1,-0.0137,0.1638,0.0,0.0,0.7506,0.0,-5.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,13,2024-10-01 04:48:38
esm-t33-gearnet-pretrained,1,0.0,0.0824,0.0,,0.5863,0.0,-5.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,14,2024-10-01 04:48:44
esm-t33-gearnet-pretrained,1,0.0,0.087,0.0,,0.6079,0.0,-5.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,15,2024-10-01 04:48:50
esm-t33-gearnet-pretrained,1,-0.0137,0.0559,0.0,0.0,0.3984,-0.0113,2.6,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,16,2024-10-01 04:48:57
esm-t33-gearnet-pretrained,1,-0.0168,0.057,0.0,0.0,0.4162,0.0,-1.6,0.0003,0.003,4,30,empty,17,2024-10-01 04:49:03
esm-t33-gearnet-pretrained,1,0.7402,0.7471,0.6,0.9474,0.9037,0.8712,-0.6,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,18,2024-10-01 04:49:11
esm-t33-gearnet-pretrained,1,0.6252,0.8103,0.8667,0.5,0.9635,0.7421,3.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,19,2024-10-01 04:49:19
esm-t33-gearnet-pretrained,1,0.7167,0.7888,0.65,0.8298,0.95,0.8864,-0.8,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,20,2024-10-01 04:49:27
esm-t33-gearnet-pretrained,1,-0.0003,0.1322,0.0167,0.0714,0.7338,0.2135,-5.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,21,2024-10-01 04:49:35
esm-t33-gearnet-pretrained,1,0.3684,0.3708,0.25,0.625,0.8305,0.5839,0.2,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,22,2024-10-01 04:49:43
esm-t33-gearnet-pretrained,1,0.5161,0.5521,0.45,0.6585,0.8401,0.7578,1.8,0.0003,0.003,6,30,empty,23,2024-10-01 04:49:51
esm-t33-gearnet-pretrained,1,0.7481,0.7249,0.6833,0.8542,0.8459,0.8712,-2.2,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,24,2024-10-01 04:50:02
esm-t33-gearnet-pretrained,1,0.7078,0.8454,0.85,0.6296,0.9505,0.9057,-5.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,25,2024-10-01 04:50:13
esm-t33-gearnet-pretrained,1,0.7789,0.8283,0.7167,0.8776,0.9561,0.9205,0.8,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,26,2024-10-01 04:50:25
esm-t33-gearnet-pretrained,1,0.6969,0.7762,0.7,0.7368,0.9541,0.8916,-4.2,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,27,2024-10-01 04:50:36
esm-t33-gearnet-pretrained,1,0.7422,0.8143,0.6333,0.9048,0.9711,0.9356,2.4,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,28,2024-10-01 04:50:48
esm-t33-gearnet-pretrained,1,0.6249,0.7793,0.7667,0.561,0.9481,0.8712,-1.6,0.0003,0.003,10,30,empty,29,2024-10-01 04:50:59
esm-t33-gearnet-pretrained,2,0.3304,0.3303,0.1167,1.0,0.6744,0.4824,0.2,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,0,2024-10-01 04:51:04
esm-t33-gearnet-pretrained,2,0.0,0.0523,0.0,,0.3598,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,1,2024-10-01 04:51:08
esm-t33-gearnet-pretrained,2,0.0,0.0478,0.0,,0.2872,0.0,-1.2,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,2,2024-10-01 04:51:13
